File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_EVI_doy2009353_aid0001,_500m_16_days_EVI,aid0001,2009-12-19,273155.0,-0.1594,0.5372,"(-0.1594,0.5372)",0.2518,0.0637,0.0041,0.2929,0.4147,0.2504,0.0899,0.2117
MOD13A1_006__500m_16_days_EVI_doy2010001_aid0001,_500m_16_days_EVI,aid0001,2010-01-01,272980.0,-0.0972,0.559,"(-0.0972,0.559)",0.2521,0.0674,0.0045,0.2974,0.4318,0.2498,0.0734,0.2078
MOD13A1_006__500m_16_days_EVI_doy2010017_aid0001,_500m_16_days_EVI,aid0001,2010-01-17,273052.0,-0.0821,0.5082,"(-0.0821,0.5082)",0.226,0.0601,0.0036,0.2655,0.3829,0.2235,0.0698,0.1872
MOD13A1_006__500m_16_days_EVI_doy2010033_aid0001,_500m_16_days_EVI,aid0001,2010-02-02,273035.0,-0.0897,0.4789,"(-0.0897,0.4789)",0.2057,0.0578,0.0033,0.2429,0.3552,0.2036,0.0557,0.168
MOD13A1_006__500m_16_days_EVI_doy2010049_aid0001,_500m_16_days_EVI,aid0001,2010-02-18,273045.0,-0.0865,0.5367,"(-0.0865,0.5367)",0.1943,0.0575,0.0033,0.2291,0.3383,0.1891,0.0471,0.1563
MOD13A1_006__500m_16_days_EVI_doy2010065_aid0001,_500m_16_days_EVI,aid0001,2010-03-06,273020.0,-0.0686,0.4606,"(-0.0686,0.4606)",0.1784,0.0502,0.0025,0.2092,0.3052,0.1755,0.0492,0.1452
MOD13A1_006__500m_16_days_EVI_doy2010081_aid0001,_500m_16_days_EVI,aid0001,2010-03-22,273136.0,-0.0808,0.4981,"(-0.0808,0.4981)",0.1707,0.05,0.0025,0.1991,0.2916,0.1662,0.0449,0.1374
MOD13A1_006__500m_16_days_EVI_doy2010097_aid0001,_500m_16_days_EVI,aid0001,2010-04-07,273125.0,-0.0835,0.5248,"(-0.0835,0.5248)",0.1745,0.0529,0.0028,0.2046,0.3046,0.1686,0.038,0.1379
MOD13A1_006__500m_16_days_EVI_doy2010113_aid0001,_500m_16_days_EVI,aid0001,2010-04-23,273208.0,-0.0894,0.5305,"(-0.0894,0.5305)",0.1656,0.0526,0.0028,0.1944,0.2934,0.159,0.0294,0.1284
MOD13A1_006__500m_16_days_EVI_doy2010129_aid0001,_500m_16_days_EVI,aid0001,2010-05-09,273184.0,-0.0938,0.507,"(-0.0938,0.507)",0.1643,0.055,0.003,0.1948,0.3008,0.1566,0.0181,0.1241
MOD13A1_006__500m_16_days_EVI_doy2010145_aid0001,_500m_16_days_EVI,aid0001,2010-05-25,273078.0,-0.1188,0.5767,"(-0.1188,0.5767)",0.1618,0.0585,0.0034,0.1895,0.2936,0.1512,0.016,0.1201
MOD13A1_006__500m_16_days_EVI_doy2010161_aid0001,_500m_16_days_EVI,aid0001,2010-06-10,273084.0,-0.091,0.6187,"(-0.091,0.6187)",0.1798,0.0742,0.0055,0.2215,0.3679,0.1679,-0.0225,0.1239
MOD13A1_006__500m_16_days_EVI_doy2010177_aid0001,_500m_16_days_EVI,aid0001,2010-06-26,273164.0,-0.1397,0.7945,"(-0.1397,0.7945)",0.2429,0.1085,0.0118,0.3091,0.5297,0.227,-0.0582,0.162
MOD13A1_006__500m_16_days_EVI_doy2010193_aid0001,_500m_16_days_EVI,aid0001,2010-07-12,273101.0,-0.1566,0.811,"(-0.1566,0.811)",0.2522,0.1177,0.0139,0.324,0.5571,0.2428,-0.0644,0.1686
MOD13A1_006__500m_16_days_EVI_doy2010209_aid0001,_500m_16_days_EVI,aid0001,2010-07-28,273065.0,-0.1216,0.8908,"(-0.1216,0.8908)",0.3201,0.1427,0.0204,0.4205,0.7373,0.305,-0.1075,0.2093
MOD13A1_006__500m_16_days_EVI_doy2010225_aid0001,_500m_16_days_EVI,aid0001,2010-08-13,273124.0,-0.1869,0.9143,"(-0.1869,0.9143)",0.3366,0.1379,0.019,0.4291,0.7152,0.3304,-0.048,0.2382
MOD13A1_006__500m_16_days_EVI_doy2010241_aid0001,_500m_16_days_EVI,aid0001,2010-08-29,273011.0,-0.1284,0.8638,"(-0.1284,0.8638)",0.4126,0.1381,0.0191,0.5081,0.7846,0.4184,0.047,0.3236
MOD13A1_006__500m_16_days_EVI_doy2010257_aid0001,_500m_16_days_EVI,aid0001,2010-09-14,273078.0,-0.1122,0.7985,"(-0.1122,0.7985)",0.4261,0.113,0.0128,0.5081,0.7469,0.4269,0.1004,0.345
MOD13A1_006__500m_16_days_EVI_doy2010273_aid0001,_500m_16_days_EVI,aid0001,2010-09-30,273101.0,-0.084,0.6742,"(-0.084,0.6742)",0.3792,0.103,0.0106,0.464,0.6742,0.3746,0.055,0.3004
MOD13A1_006__500m_16_days_EVI_doy2010289_aid0001,_500m_16_days_EVI,aid0001,2010-10-16,273129.0,-0.076,0.6315,"(-0.076,0.6315)",0.3288,0.0838,0.007,0.3872,0.5632,0.3275,0.0938,0.2698
MOD13A1_006__500m_16_days_EVI_doy2010305_aid0001,_500m_16_days_EVI,aid0001,2010-11-01,273075.0,-0.0928,0.6019,"(-0.0928,0.6019)",0.3059,0.0761,0.0058,0.3582,0.5121,0.3042,0.1018,0.2556
MOD13A1_006__500m_16_days_EVI_doy2010321_aid0001,_500m_16_days_EVI,aid0001,2010-11-17,272990.0,-0.069,0.5601,"(-0.069,0.5601)",0.2944,0.0706,0.005,0.3411,0.478,0.2926,0.1129,0.2498
