Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Maharashtra,,,,,
Arhar/Tur,,,,,
 1.AHMEDNAGAR, 2010-11,Kharif     ,17600,11300,0.64
, 2011-12,Kharif     ,12800,6400,0.50
, 2012-13,Kharif     ,9500,2200,0.23
, 2013-14,Kharif     ,11000,9200,0.84
, 2014-15,Kharif     ,9100,1800,0.20
, 2015-16,Kharif     ,9300,2200,0.24
, 2016-17,Kharif     ,21968,22038,1.00
, 2017-18,Kharif     ,15700,15600,0.99
, 2018-19,Kharif     ,19058,4757,0.25
 2.AKOLA, 2010-11,Kharif     ,61500,52100,0.85
, 2011-12,Kharif     ,62200,22000,0.35
, 2012-13,Kharif     ,62500,93100,1.49
, 2013-14,Kharif     ,66500,83800,1.26
, 2014-15,Kharif     ,50100,19600,0.39
, 2015-16,Kharif     ,54300,45100,0.83
, 2016-17,Kharif     ,59920,142043,2.37
, 2017-18,Kharif     ,58681,59742,1.02
, 2018-19,Kharif     ,57074,34547,0.61
 3.AMRAVATI, 2010-11,Kharif     ,119600,62900,0.53
, 2011-12,Kharif     ,127500,108900,0.85
, 2012-13,Kharif     ,123800,133100,1.08
, 2013-14,Kharif     ,96200,133900,1.39
, 2014-15,Kharif     ,103800,36800,0.35
, 2015-16,Kharif     ,108200,57600,0.53
, 2016-17,Kharif     ,122612,146932,1.20
, 2017-18,Kharif     ,112300,111100,0.99
, 2018-19,Kharif     ,112813,125540,1.11
 4.AURANGABAD, 2010-11,Kharif     ,60800,53400,0.88
, 2011-12,Kharif     ,36100,28800,0.80
, 2012-13,Kharif     ,36100,12000,0.33
, 2013-14,Kharif     ,28600,26800,0.94
, 2014-15,Kharif     ,32900,8700,0.26
, 2015-16,Kharif     ,44600,12100,0.27
, 2016-17,Kharif     ,60725,71469,1.18
, 2017-18,Kharif     ,63900,52600,0.82
, 2018-19,Kharif     ,37901,9835,0.26
 5.BEED, 2010-11,Kharif     ,62400,34100,0.55
, 2011-12,Kharif     ,50200,28800,0.57
, 2012-13,Kharif     ,50200,20300,0.40
, 2013-14,Kharif     ,56400,37700,0.67
, 2014-15,Kharif     ,60600,10200,0.17
, 2015-16,Kharif     ,72300,11700,0.16
, 2016-17,Kharif     ,89190,81624,0.92
, 2017-18,Kharif     ,92600,52200,0.56
, 2018-19,Kharif     ,51121,5609,0.11
 6.BHANDARA, 2010-11,Kharif     ,8800,8300,0.94
, 2011-12,Kharif     ,9200,8000,0.87
, 2012-13,Kharif     ,8900,9500,1.07
, 2013-14,Kharif     ,11300,7100,0.63
, 2014-15,Kharif     ,11600,4000,0.34
, 2015-16,Kharif     ,11500,5200,0.45
, 2016-17,Kharif     ,11824,22988,1.94
, 2017-18,Kharif     ,12305,13120,1.07
, 2018-19,Kharif     ,12865,12743,0.99
 7.BULDHANA, 2010-11,Kharif     ,76800,42500,0.55
, 2011-12,Kharif     ,79500,44100,0.55
, 2012-13,Kharif     ,84100,43900,0.52
, 2013-14,Kharif     ,21100,14800,0.70
, 2014-15,Kharif     ,69600,18500,0.27
, 2015-16,Kharif     ,72600,24200,0.33
, 2016-17,Kharif     ,77864,64484,0.83
, 2017-18,Kharif     ,76195,47788,0.63
, 2018-19,Kharif     ,88381,45400,0.51
 8.CHANDRAPUR, 2010-11,Kharif     ,39600,34100,0.86
, 2011-12,Kharif     ,34700,26000,0.75
, 2012-13,Kharif     ,34700,48400,1.39
, 2013-14,Kharif     ,32600,28500,0.87
, 2014-15,Kharif     ,38200,19800,0.52
, 2015-16,Kharif     ,38700,26200,0.68
, 2016-17,Kharif     ,40143,72902,1.82
, 2017-18,Kharif     ,40431,53949,1.33
, 2018-19,Kharif     ,44322,48875,1.10
 9.DHULE, 2010-11,Kharif     ,9200,8200,0.89
, 2011-12,Kharif     ,7500,4400,0.59
, 2012-13,Kharif     ,8200,4000,0.49
, 2013-14,Kharif     ,9000,7500,0.83
, 2014-15,Kharif     ,11600,5200,0.45
, 2015-16,Kharif     ,15000,5300,0.35
, 2016-17,Kharif     ,9082,7639,0.84
, 2017-18,Kharif     ,9900,9300,0.94
, 2018-19,Kharif     ,11036,4240,0.38
 10.GADCHIROLI, 2010-11,Kharif     ,6800,6400,0.94
, 2011-12,Kharif     ,6700,5800,0.87
, 2012-13,Kharif     ,5800,6200,1.07
, 2013-14,Kharif     ,4100,2600,0.63
, 2014-15,Kharif     ,4600,1600,0.35
, 2015-16,Kharif     ,4600,1800,0.39
, 2016-17,Kharif     ,4648,9037,1.94
, 2017-18,Kharif     ,5299,5650,1.07
, 2018-19,Kharif     ,5409,5358,0.99
 11.GONDIA, 2010-11,Kharif     ,5300,5000,0.94
, 2011-12,Kharif     ,6300,5500,0.87
, 2012-13,Kharif     ,6200,6600,1.06
, 2013-14,Kharif     ,6000,3800,0.63
, 2014-15,Kharif     ,6500,2200,0.34
, 2015-16,Kharif     ,6500,2900,0.45
, 2016-17,Kharif     ,6560,12754,1.94
, 2017-18,Kharif     ,6354,6775,1.07
, 2018-19,Kharif     ,5751,5696,0.99
 12.HINGOLI, 2010-11,Kharif     ,29100,22300,0.77
, 2011-12,Kharif     ,33500,26800,0.80
, 2012-13,Kharif     ,38900,50700,1.30
, 2013-14,Kharif     ,38900,33200,0.85
, 2014-15,Kharif     ,41100,18500,0.45
, 2015-16,Kharif     ,47000,13600,0.29
, 2016-17,Kharif     ,76379,82738,1.08
, 2017-18,Kharif     ,77000,61900,0.80
, 2018-19,Kharif     ,47044,18150,0.39
 13.JALGAON, 2010-11,Kharif     ,16000,14300,0.89
, 2011-12,Kharif     ,16900,13300,0.79
, 2012-13,Kharif     ,18300,11500,0.63
, 2013-14,Kharif     ,18400,20400,1.11
, 2014-15,Kharif     ,15600,8200,0.53
, 2015-16,Kharif     ,15500,7700,0.50
, 2016-17,Kharif     ,19764,21387,1.08
, 2017-18,Kharif     ,19500,14400,0.74
, 2018-19,Kharif     ,20891,10516,0.50
 14.JALNA, 2010-11,Kharif     ,53100,54000,1.02
, 2011-12,Kharif     ,52700,27700,0.53
, 2012-13,Kharif     ,46400,10800,0.23
, 2013-14,Kharif     ,44200,47500,1.07
, 2014-15,Kharif     ,47200,11900,0.25
, 2015-16,Kharif     ,46500,10100,0.22
, 2016-17,Kharif     ,46176,61424,1.33
, 2017-18,Kharif     ,54400,42600,0.78
, 2018-19,Kharif     ,54333,19263,0.35
 15.KOLHAPUR, 2010-11,Kharif     ,2400,800,0.33
, 2011-12,Kharif     ,2500,700,0.28
, 2012-13,Kharif     ,900,100,0.11
, 2013-14,Kharif     ,400,200,0.50
, 2014-15,Kharif     ,1500,400,0.27
, 2015-16,Kharif     ,1500,200,0.13
, 2016-17,Kharif     ,1321,498,0.38
, 2017-18,Kharif     ,2000,300,0.15
, 2018-19,Kharif     ,1887,2504,1.33
 16.LATUR, 2010-11,Kharif     ,88600,103300,1.17
, 2011-12,Kharif     ,106300,86100,0.81
, 2012-13,Kharif     ,106300,150000,1.41
, 2013-14,Kharif     ,112400,156200,1.39
, 2014-15,Kharif     ,113200,28300,0.25
, 2015-16,Kharif     ,116200,30900,0.27
, 2016-17,Kharif     ,126097,432434,3.43
, 2017-18,Kharif     ,111300,131400,1.18
, 2018-19,Kharif     ,114087,54420,0.48
 17.NAGPUR, 2010-11,Kharif     ,61600,51700,0.84
, 2011-12,Kharif     ,56000,44800,0.80
, 2012-13,Kharif     ,55400,40600,0.73
, 2013-14,Kharif     ,58600,26600,0.45
, 2014-15,Kharif     ,62000,21100,0.34
, 2015-16,Kharif     ,67800,27900,0.41
, 2016-17,Kharif     ,65650,168643,2.57
, 2017-18,Kharif     ,65973,73976,1.12
, 2018-19,Kharif     ,63334,49192,0.78
 18.NANDED, 2010-11,Kharif     ,68300,40400,0.59
, 2011-12,Kharif     ,66500,42700,0.64
, 2012-13,Kharif     ,64500,36900,0.57
, 2013-14,Kharif     ,71600,46100,0.64
, 2014-15,Kharif     ,71600,14700,0.21
, 2015-16,Kharif     ,76900,14400,0.19
, 2016-17,Kharif     ,86628,104818,1.21
, 2017-18,Kharif     ,77200,67900,0.88
, 2018-19,Kharif     ,74341,68706,0.92
 19.NANDURBAR, 2010-11,Kharif     ,20100,14600,0.73
, 2011-12,Kharif     ,20700,9800,0.47
, 2012-13,Kharif     ,18700,7100,0.38
, 2013-14,Kharif     ,12000,4700,0.39
, 2014-15,Kharif     ,12600,2800,0.22
, 2015-16,Kharif     ,13600,4200,0.31
, 2016-17,Kharif     ,17925,9592,0.54
, 2017-18,Kharif     ,21000,11600,0.55
, 2018-19,Kharif     ,20597,4788,0.23
 20.NASHIK, 2010-11,Kharif     ,10100,6200,0.61
, 2011-12,Kharif     ,10900,8300,0.76
, 2012-13,Kharif     ,9500,6000,0.63
, 2013-14,Kharif     ,10100,7100,0.70
, 2014-15,Kharif     ,5700,1500,0.26
, 2015-16,Kharif     ,5900,1700,0.29
, 2016-17,Kharif     ,7437,5673,0.76
, 2017-18,Kharif     ,7600,6200,0.82
, 2018-19,Kharif     ,7579,1891,0.25
 21.OSMANABAD, 2010-11,Kharif     ,94300,72800,0.77
, 2011-12,Kharif     ,97800,73900,0.76
, 2012-13,Kharif     ,93200,28000,0.30
, 2013-14,Kharif     ,101000,115700,1.15
, 2014-15,Kharif     ,101000,28600,0.28
, 2015-16,Kharif     ,60500,8700,0.14
, 2016-17,Kharif     ,66804,58649,0.88
, 2017-18,Kharif     ,70300,58100,0.83
, 2018-19,Kharif     ,58049,13351,0.23
 22.PALGHAR, 2014-15,Kharif     ,2300,900,0.39
, 2015-16,Kharif     ,2500,900,0.36
, 2016-17,Kharif     ,2574,2109,0.82
, 2017-18,Kharif     ,2500,1200,0.48
