state,district,year,month,rain
AndamanandNicobarIslands,Andaman,2010,January,59.1
AndamanandNicobarIslands,Andaman,2010,February,109
AndamanandNicobarIslands,Andaman,2010,March,26
AndamanandNicobarIslands,Andaman,2010,April,30.2
AndamanandNicobarIslands,Andaman,2010,May,546.8
AndamanandNicobarIslands,Andaman,2010,June,456.6
AndamanandNicobarIslands,Andaman,2010,July,313.9
AndamanandNicobarIslands,Andaman,2010,August,336.1
AndamanandNicobarIslands,Andaman,2010,September,270.8
AndamanandNicobarIslands,Andaman,2010,October,239
AndamanandNicobarIslands,Andaman,2010,November,177.3
AndamanandNicobarIslands,Andaman,2010,December,2.2
AndamanandNicobarIslands,Andaman,2011,January,2.7
AndamanandNicobarIslands,Andaman,2011,February,0
AndamanandNicobarIslands,Andaman,2011,March,3.6
AndamanandNicobarIslands,Andaman,2011,April,36.7
AndamanandNicobarIslands,Andaman,2011,May,220
AndamanandNicobarIslands,Andaman,2011,June,482.7
AndamanandNicobarIslands,Andaman,2011,July,400.5
AndamanandNicobarIslands,Andaman,2011,August,337.6
AndamanandNicobarIslands,Andaman,2011,September,506.4
AndamanandNicobarIslands,Andaman,2011,October,329.2
AndamanandNicobarIslands,Andaman,2011,November,296.6
AndamanandNicobarIslands,Andaman,2011,December,215.8
AndamanandNicobarIslands,Andaman,2012,January,6.9
AndamanandNicobarIslands,Andaman,2012,February,0.4
AndamanandNicobarIslands,Andaman,2012,March,14
AndamanandNicobarIslands,Andaman,2012,April,133.6
AndamanandNicobarIslands,Andaman,2012,May,336.1
AndamanandNicobarIslands,Andaman,2012,June,374.1
AndamanandNicobarIslands,Andaman,2012,July,200.5
AndamanandNicobarIslands,Andaman,2012,August,243.4
AndamanandNicobarIslands,Andaman,2012,September,599.6
AndamanandNicobarIslands,Andaman,2012,October,369.4
AndamanandNicobarIslands,Andaman,2012,November,57.1
AndamanandNicobarIslands,Andaman,2012,December,66.5
AndamanandNicobarIslands,Andaman,2013,January,0
AndamanandNicobarIslands,Andaman,2013,February,0
AndamanandNicobarIslands,Andaman,2013,March,0
AndamanandNicobarIslands,Andaman,2013,April,56.8
AndamanandNicobarIslands,Andaman,2013,May,338.4
AndamanandNicobarIslands,Andaman,2013,June,390.7
AndamanandNicobarIslands,Andaman,2013,July,469.2
AndamanandNicobarIslands,Andaman,2013,August,455
AndamanandNicobarIslands,Andaman,2013,September,546.6
AndamanandNicobarIslands,Andaman,2013,October,241.7
AndamanandNicobarIslands,Andaman,2013,November,199.4
AndamanandNicobarIslands,Andaman,2013,December,34.2
AndamanandNicobarIslands,Andaman,2014,January,11.8
AndamanandNicobarIslands,Andaman,2014,February,67.7
AndamanandNicobarIslands,Andaman,2014,March,97.3
AndamanandNicobarIslands,Andaman,2014,April,194.7
AndamanandNicobarIslands,Andaman,2014,May,650.4
