
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.063"	"1.609"	"11.196"	"7.838"	"7.475"	"268.118"	"328.41"	"230.975"	"65.635"	"66.428"	"0.231"	"0"
"1902"	"2.722"	"0"	"0"	"0.109"	"1.74"	"94.046"	"503.733"	"229.138"	"373.889"	"62.086"	"19.301"	"17.124"
"1903"	"0.223"	"0"	"0"	"0.286"	"65.711"	"180.31"	"652.082"	"271.864"	"273.695"	"58.872"	"0.641"	"0.995"
"1904"	"0.437"	"2.303"	"1.159"	"11.657"	"2.067"	"189.347"	"214.377"	"93.296"	"372.842"	"45.624"	"0.231"	"0.122"
"1905"	"0"	"1.343"	"0"	"0"	"0.267"	"117.635"	"494.211"	"141.188"	"116.215"	"16.998"	"4.015"	"0"
"1906"	"0.478"	"3.267"	"0.035"	"0"	"0.112"	"323.061"	"390.755"	"262.887"	"79.57"	"15.628"	"0.449"	"8.043"
"1907"	"0"	"0.673"	"0.316"	"19.094"	"0.112"	"225.233"	"620.364"	"439.561"	"63.352"	"1.095"	"0.291"	"0.213"
"1908"	"2.051"	"0"	"7.113"	"1.735"	"0.112"	"181.379"	"478.602"	"207.325"	"114.612"	"7.478"	"0.231"	"0"
"1909"	"1.04"	"0.193"	"0.016"	"3.488"	"21.887"	"407.055"	"423.782"	"187.493"	"285.248"	"11.017"	"0.231"	"8.511"
"1910"	"0"	"0"	"0"	"0"	"1.349"	"442.67"	"430.643"	"351.305"	"221.595"	"71.014"	"27.25"	"0"
"1911"	"2.299"	"0"	"3.767"	"0"	"0.163"	"191.826"	"368.627"	"243.086"	"63.077"	"0.51"	"57.559"	"2.506"
"1912"	"0"	"0"	"0"	"3.562"	"5.364"	"130.475"	"637.69"	"223.143"	"12.292"	"42.634"	"90.728"	"0"
"1913"	"0"	"0"	"0.016"	"0"	"5.149"	"508.237"	"571.115"	"159.558"	"208.141"	"16.092"	"0.231"	"13.933"
"1914"	"0"	"1.203"	"0.048"	"0.958"	"4.719"	"425.911"	"629.988"	"213.719"	"351.3"	"9.73"	"30.789"	"0.698"
"1915"	"2.759"	"0.1"	"19.925"	"22.336"	"18.308"	"333.081"	"409.055"	"112.59"	"313.138"	"92.884"	"9.091"	"11.387"
"1916"	"0"	"0"	"0.545"	"0.816"	"11.623"	"237.641"	"575.429"	"386.502"	"342.834"	"103.521"	"38.182"	"0"
"1917"	"0.073"	"0.899"	"4.393"	"45.607"	"40.561"	"273.395"	"214.261"	"374.042"	"277.105"	"121.342"	"8.333"	"0"
"1918"	"0"	"1.759"	"3.913"	"0"	"71.117"	"108.452"	"144.443"	"166.528"	"43.899"	"5.553"	"13.432"	"1.027"
"1919"	"3.074"	"0.126"	"0.368"	"1.113"	"3.616"	"344.487"	"529.054"	"190.289"	"277.538"	"62.853"	"27.284"	"0.183"
"1920"	"5.958"	"1.894"	"0.033"	"3.115"	"8.899"	"161.155"	"230.866"	"151.415"	"138.279"	"2.74"	"0.231"	"0"
