Commodity,State,Quantity Procured (as on 21.12.2018) (In MTs)
Gram,Telangana,50000
Gram,Karnataka,135422.1
Gram,Andhra Pradesh,91982.65
Gram,Maharashtra,194726.89
Gram,Rajasthan,579972.38
Gram,Madhya Pradesh,1611972.09
Gram,Gujarat,91000
Gram,Uttar Pradesh,14354.05
Urad,Andhra Pradesh,79163
Urad,Telangana,2000
Urad,Tamilnadu,1547.86
Urad,Odisha,4216.77
Masoor,Madhya Pradesh,233245.61
Masoor,Uttar Pradesh,13698.24
Moong,Odisha,2675.11
Moong,Andhra Pradesh,1604.05
Moong,Karnataka,28950
Moong,Tamilnadu,364.9
Moong,Telangana,13375.31
Moong,Maharashtra,15870.77
Moong,Rajasthan,148467.52
Moong,Madhya Pradesh,579.19
Moong,Haryana,224.9
Moong,Uttar Pradesh,2
Moong,Gujarat,18.4
Urad,Telangana,578.39
Urad,Maharashtra,8664.02
Urad,Rajasthan,52236.27
Urad,Madhya Pradesh,87777.25
Urad,Uttar Pradesh,12654.1
Urad,Karnataka,189.85
Urad,Andhra Pradesh,54
Urad,Gujarat,504
Toor,Telangana,2943.75
Total,Total,3481035.42
